
 Lista de Imóveis da Caixa;;Data de geração:;28/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444402691787 ;DF ;CEILANDIA ;CEILANDIA SUL ;QUADRA QNP 26, N. SN, LT 29 CJ O ;345.183,69;255.647,75;0.00;Casa, 0.00 de área total, 45.77 de área privativa, 135.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402691787
 1444417755824 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO -05, N. SN, LT-10, CJ-A ;477.377,40;260.000,00;0.00;Casa, 0.00 de área total, 43.80 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417755824
 8063020100231 ;DF ;CEILANDIA ;CEILANDIA SUL ;QUADRA QNP 26, N. SN, LT 30 CONJ I ;517.160,90;220.000,00;0.00;Casa, 0.00 de área total, 26.32 de área privativa, 135.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8063020100231
 10182242 ;DF ;GAMA ;SETOR SUL ;QUADRA 1, N. S/N, LT 18, LJ 02, QD 01 ;591.026,92;990.000,00;40.31;Loja, 0.00 de área total, 308.10 de área privativa, 312.50 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10182242
 8444406947288 ;DF ;GAMA ;SETOR LESTE ;QUADRA 2, N. SN, Apto 308, LT 06 08 10 ;167.098,45;143.000,00;0.00;Apartamento, 0.00 de área total, 38.53 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406947288
 8555533324400 ;DF ;PLANALTINA ;SETOR OESTE ;SETOR DE MANSOES OESTE, N. 12, Apto 101, BL E ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533324400
 1444418945465 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;LT 29, N. SN, QD 804 ;382.230,18;345.000,00;0.00;Casa, 0.00 de área total, 112.50 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418945465
 8555534815181 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 408, N. 408, Apto 204, LT 02 CJ D ;104.128,14;210.000,00;50.42;Apartamento, 0.00 de área total, 48.50 de área privativa, 0.01 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534815181
 8555523180082 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QD QS 320, N. SN, Apto 703, LT 02 CJ 01 ;88.990,38;152.000,00;41.46;Apartamento, 0.00 de área total, 30.38 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523180082
 8555520505355 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QUADRA QS 303, N. SN, Apto 1603, LOT 1,2 E 3, CJ 06, TR B, VG 118 ;144.000,00;240.000,00;40.00;Apartamento, 0.00 de área total, 47.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520505355
